meisterschaftstyp,erstemanschaft,zweitemanschaft,Fußballergebnis,Fußballspielzeit
بطولة العالم لكرة اليد,التشيك,بولندا,- - -,19:00
بطولة العالم لكرة اليد,هولندا,مقدونيا,- - -,19:00
بطولة العالم لكرة اليد,البرتغال,البرازيل,- - -,19:00
بطولة العالم لكرة اليد,البحرين,مصر,- - -,19:00
بطولة العالم لكرة اليد,سويسرا,ألمانيا,- - -,21:30
بطولة العالم لكرة اليد,غينيا,المجر,- - -,21:30
بطولة العالم لكرة اليد,أمريكا,النرويج,- - -,21:30
بطولة العالم لكرة اليد,كرواتيا,الأرجنتين,- - -,21:30
الدوري الإسباني,اسبانيول,بلد الوليد,- - -,22:00
الدوري الألماني,آ. فرانكفورت,بروسيا دورتموند,- - -,21:30
الدوري الفرنسي,مونبيليه,موناكو,- - -,20:00
الدوري الفرنسي,ليل,نيس,- - -,22:00
الدوري الإيطالي,روما,جنوى,- - -,21:45
الدوري السعودي,التعاون,النصر,- - -,19:00
الدوري التركي,هاتاي سبور,جالاتا سراي,- - -,19:00
الدوري البرتغالي,بنفيكا,فاماليكاو,- - -,22:15
الدوري المغربي,النادي المكناسي,المغرب التطواني,- - -,21:00
